color,"5, Unsigned","6, Unsigned","6, Signed","7, Signed",,,,,,,,,,,,,,
black,485,302,233,609,,,,,,,,,,,,,,
blue,6315,7452,7919,5939,,,,,,,,,,,,,,
brown,4680,3618,3614,4060,,,,,,,,,,,,,,
cyan,NA,NA,NA,136,,,,,,,,,,,,,,
green,1183,746,367,1097,,,,,,,,,,,,,,
green yellow,142,154,NA,203,,,,,,,,,,,,,,
gray,1492,1501,1588,2095,,,,,,,,,,,,,,
light cyan,NA,NA,NA,75,,,,,,,,,,,,,,
magenta,158,266,144,231,,,,,,,,,,,,,,
Midnight blue,NA,NA,NA,92,,,,,,,,,,,,,,
pink,205,279,164,312,,,,,,,,,,,,,,
purple,151,NA,91,219,,,,,,,,,,,,,,
red,1181,377,331,871,,,,,,,,,,,,,,
turquoise,7347,7917,9806,141,,,,,,,,,,,,,,
salmon,NA,NA,NA,141,,,,,,,,,,,,,,
tan,NA,95,NA,169,,,,,,,,,,,,,,
yellow,1801,2389,1003,2525,,,,,,,,,,,,,,
